Word Mark,Goods and Services,Filing Date,Owner
AMAZON SPHERES,"IC 016. US 002 005 022 023 029 037 038 050. G & S: Paper goods and printed matter, namely, address books, appointment books, art pads, book marks, calendars, cardboard, drawing pads, event albums, gift wrapping paper, greeting cards, index cards, maps, napkins, note pads, notebooks, paper, paper bags, paper banners, paper flags, paper gift tags, paper labels, paper pennants, paper tablecloths, photo albums, postcards, posters, printed gift certificates, scrapbooks, sketch pads, stickers, sticker albums, and writing paper pads IC 025. US 022 039. G & S: Clothing, namely, blouses, shirts, t-shirts, sweatshirts, pants, jeans, slacks, shorts, skirts, tunics, tank tops, dresses, sweaters, scarves, jackets, coats, raincoats, fashion headbands, hats, belts, lingerie, socks, gloves, hosiery, neckwear, ski wear, rain wear, sleepwear, swimwear, tennis wear, beachwear, infant wear, infant one-piece garments, underwear, and loungewear; headwear; footwear IC 028. US 022 023 038 050. G & S: Board games; card games; dice games; parlor games; puzzles; toy figures; battery-operated action toys; electronic learning toys; water toys; wind-up toys; balloons; bendable toys; construction toys; crib toys; baby rattles; drawing toys; toy building blocks; puzzles; stuffed toys; stuffed animals; educational card and memory games; educational board games; scientific board games; electronic educational game machines for children; toy vehicles; inflatable toys; mechanical action toys; musical toys; yoyos; party favors in the nature of small toys; plush toys; pop-up toys; punching toys; push toys; radio-controlled toy vehicles; sand toys; squeeze toys; toy airplanes; toy and novelty face masks; toy animals and accessories therefor; toy clocks and watches; toy musical instruments; toy robots; snow globes; toy stamps; electronic games for the teaching of children; balls for games and sports; golf balls; pet toys IC 035. US 100 101 102. G & S: Advertising; business services, namely, organizing, promoting and conducting exhibitions and events for business purposes; retail store and online retail store services featuring a wide variety of consumer goods; retail and online retail store services featuring consumer electronics, computer hardware, e-readers, tablets, set-top boxes, cameras, home automation products, computer software and mobile apps, CD's, DVD's, books, paper and printed matter, jewelry, clothing and fashion accessories, footwear, bags and leather accessories, umbrellas, games, toys, pet toys, sporting goods, lamps and flashlights, dishes and beverageware, towels and linens, home and garden supplies, baby goods, food, and beverages","June 21, 2017","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA ATTN: Trademarks 410 Terry Ave N Seattle WASHINGTON 98109"
AMAZON TAP,"IC 009. US 021 023 026 036 038. G & S: Digital audio players and recorders; media players and recorders; computer hardware and handheld digital electronic devices in the form of remote controllers for controlling the operations of televisions, entertainment systems, home theatre systems, and consumer electronic devices and displays, audio, video, and media players and recorders, video monitors, set top boxes, game players; computer hardware and handheld digital electronic devices in the form of remote controllers for controlling software applications and for searching, manipulating, controlling, storing, displaying, playing, and recording audio, video, and multimedia content, and games; computer software for use in connection with digital content subscription service and search platforms to allow users to request and receive digital media content; computer software for creating, authoring, distributing, downloading, transmitting, receiving, playing, editing, extracting, encoding, decoding, displaying, storing and organizing audio and multimedia content; voice-enabled software applications for use in searching, manipulating, controlling, storing, displaying, playing, and recording audio, video, and multimedia content, games, software applications, software application marketplaces, and program listings and guides; computer software for accessing, browsing, and searching online databases, audio and multimedia content, games, and software applications IC 038. US 100 101 104. G & S: Delivery of messages by electronic transmission; streaming of audio, visual and audiovisual material via global communications networks; interactive broadcasting and webcasting services over the internet and telecommunications networks; providing online forums for transmission of messages among computer users and subscribers concerning music, books, movies, motion pictures, television programs, games, toys, sporting goods, electronics, multimedia presentations, videos and DVDs, and other household and consumer goods, product reviews and purchase information on the internet; communication services via portable electronic devices, portable media players, and portable digital devices, namely, streaming of voice, audio, visual images and data by telecommunications networks, wireless communication networks, and the internet; communication services via portable electronic devices, portable media players, and portable digital devices, namely, audio and video broadcasting by telecommunications networks, wireless communications networks, and the internet","March 2, 2016","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Avenue North Seattle WASHINGTON 98109"
AMAZON.COM,"IC 018. US 001 002 003 022 041. G & S: bags, namely, tote bags, and messenger bags; satchels. FIRST USE: 19991201. FIRST USE IN COMMERCE: 19991201 IC 028. US 022 023 038 050. G & S: toys, [ games, ] and playthings, namely, [ sports toys, ] plush toys. FIRST USE: 19991201. FIRST USE IN COMMERCE: 19991201","September 23, 1999","(REGISTRANT) Amazon.com, Inc. CORPORATION DELAWARE 1200 12th Ave. South Suite 1200 Seattle WASHINGTON 981442734 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 Terry Ave N ATTN: Trademarks Seattle WASHINGTON 98109"
AMAZONFRESH,"IC 029. US 046. G & S: Butter; Canned and bottled fruits and vegetables; Cheese; Chicken; Cooked fruits and vegetables; Cooking oil; Cream; Dips; Dried Fruits; Eggs; Frozen, prepared and packaged entrees, meals, appetizers, and side dishes consisting primarily of meat, seafood, poultry, vegetables, or cheese; Fruit-based snack food; Fruit chips; Vegetable chips; Fruit and vegetable purees; Fruit spreads; Jellies, jams, compotes; Meat; Milk; Milk-based products, excluding ice cream, ice milk and frozen yogurt; processed mixed nuts; Nut-based and dried fruit-based snack bars; Olive Oil for food; Peanut butter; Potato chips; Raisins; Salads except macaroni, rice and pasta salad; Sauce; Seafood, not live; Snack mix consisting of dehydrated fruit and processed nuts; Soup; Soy-based food beverage used as a milk substitute, soy milk; Tomato paste; Trail mix consisting primarily of processed nuts or granola; Vegetables; Vegetable-based snack food; Whipped cream; Yogurt; Fruit jellies; Milk of almonds; Peanut milk; Nut-based snack bars IC 030. US 046. G & S: Baking powder; Baking soda; Bread; Bread crumbs; Bread sticks; Breakfast cereals; Biscuits; Burgers contained in bread rolls; Cake mixes; Cookie mixes; Cakes; Cereal bars; Caramels; Cereal-based snack food; Chewing gum; Corn-based chips; Grain-based chips; Pretzel chips; Pita chips; Bagel chips; Tortilla chips; Rice chips; Chocolate; Chocolate-based beverages; Chocolate mousses; Cinnamon; Cocoa-based condiments, ingredients, mixes, powders, and spreads; Coffee; Coffee-based beverages; Coffee beans; Coffee and tea pods; Condiments, namely, savory sauces, minced garlic, soya bean paste, chili pepper paste, pepper sauce, pimiento, horseradish, ketchup, pickles, dips, relish, or jelly; Confectionery made of sugar; Confectionery made of sugar-substitutes; Cookies; Crackers; Dipping sauce; Dough; Dressings for salad; Flavorings for foods and beverages, other than essential oils; Frozen yogurt; Flour; Frozen, prepared, and packaged meals or entrees consisting primarily of pasta or rice; Frozen foods, namely, grain and bread based appetizers, hors d'oeuvres, and canaps; Food package combinations consisting primarily of bread, crackers or cookies; Frozen confections; Gravy; Grits; Honey; Ice cream; Ice cream cones; Iced tea; Ices; Ice; Icing; Jelly beans; non-medicated lozenges; Marinades; Mayonnaise; Mixes for making breading; Mustard; Natural sweeteners; Noodles; Noodles, sauce, and topping combined in unitary packages; Oat-based food, namely, oat flakes and processed oats; Packaged meal kits consisting primarily of pasta or rice; Pancakes; Pasta; Pasta salad; Pastries; Pastry mixes, cream, dough, and shells; Pepper; Pies; Pizzas; Popcorn; Puddings; Rice; Rice cakes; Rice-based snack food; Rice and seasoning mix combined in a unitary package; Salt; Sandwiches; Sauces; Seasonings; Spices; Stuffing mixes containing bread; Sugar; Sushi; Syrup for flavoring food and beverages; Tacos; Tea; Tea bags; Tea-based beverages; Tea-based snack foods; Tortillas; Vanilla; Vinegar; Waffles; Yeast; Frozen, prepared and packaged entrees, meals, appetizers, and side dishes consisting primarily of pasta, rice, bread, crackers, cookies, sauces, seasoning or beans; Milk-based products, namely, ice cream, ice milk and frozen yogurt; Processed grains; Malt for food purposes; Processed wheat; Sorbets IC 031. US 001 046. G & S: Beans, fresh; Beans, unprocessed; Fresh coconuts; Fresh corn; Fresh fruits; Fresh vegetables; Fresh herbs; Unprocessed grain; Lettuce, fresh; Lobsters, live; Malt for brewing and distilling; Fresh oats; Rice, unprocessed; Sesame, edible; Shellfish, live; Unprocessed grain; Unprocessed nuts; Fresh wheat IC 032. US 045 046 048. G & S: Beer; Cocktails, non-alcoholic; Energy drinks; Flavored water; Fruit-based beverages; Fruit juices; Ginger ale; Isotonic beverages; Lemonades; Malt wort; Mineral and aerated waters; Non-alcoholic beverages, namely, carbonated beverages; Non-alcoholic malt beverages; Non-alcoholic fruit extracts used in the preparation of beverages; Non-alcoholic cocktail mixes; Preparations for making beverages, namely, fruit drinks; Seltzer water; Smoothies; Soft drinks; Vegetable juices; Water beverages; Whey beverages; Distilled beverages, namely, distilled drinking water; Sweet cider; Malt syrup for beverages IC 033. US 047 049. G & S: Alcoholic beverages, except beer; Alcoholic cocktail mixes; Alcoholic essences; Alcoholic extracts; Brandy; Bourbon; Distilled spirits; Gin; Liqueurs; Pre-mixed alcoholic beverages, other than beer-based; Prepared alcoholic cocktail; Rum; Sake; Scotch; Spirits; Hard cider; Distilled blue agave liquor; Vodka; Whisky; Wine IC 035. US 100 101 102. G & S: Advertising, marketing and promotion services; Customer loyalty rewards program for shoppers, namely, customer loyalty services for commercial, promotional and/or advertising purposes; Customer loyalty reward program for shoppers which provides rewards in the form of discounts and offers; Information, advisory and consultancy services relating to retail store services and online retail store services; Business management of a retail store and supermarket for others; Business management of an online retail store and supermarket for others; On-line retail store services featuring a wide variety of consumer goods; Online retail store services featuring food, beverages, and groceries; Retail store services featuring a wide variety of consumer goods; Retail store services featuring food, beverages, and groceries IC 043. US 100 101. G & S: Cafs; Cafeterias; Canteen services; Catering services; Coffee bar services; Food and drink catering; Food preparation services; Juice bar services; Preparation of beverages; Providing information online in the fields of cooking, food preparation, wine, wine and food pairings, ingredients and recipes; Hotel, restaurant and bar services; Restaurants; Restaurant services; Self-service restaurant services; Snack bar services; Serving food and drink; Take-out restaurant services","August 27, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Seattle WASHINGTON 98109"
ARABELLA,"IC 025. US 022 039. G & S: Lingerie; intimate apparel in the nature of underwear, chemises, pajamas, robes, slips being underclothing, nightshirts and nightgowns; bras, bralettes, panties, sleepwear, and loungewear. FIRST USE: 20170430. FIRST USE IN COMMERCE: 20170430","May 6, 2017","(REGISTRANT) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVE N SEATTLE WASHINGTON 98109"
ARTHUR HARVEY,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, suits, blazers, sports coats, vests, tuxedos, dress shirts, pants, trousers, slacks, sweaters, ties, jackets and coats, hats, dress socks, belts, gloves, underwear","October 23, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
AZALEA,IC 005. US 006 018 044 046 051 052. G & S: Feminine hygiene pads; Sanitary napkins; Tampons. FIRST USE: 20110502. FIRST USE IN COMMERCE: 20110502,"February 7, 2014","(REGISTRANT) Whole Foods Market IP, L.P. WFM IP Management, Inc., a Delaware corporation LIMITED PARTNERSHIP DELAWARE 550 Bowie Street, 6th Floor Austin TEXAS 78703 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
BE,"IC 003. US 001 004 006 050 051 052. G & S: Body and beauty care cosmetics; non-medicated soaps; cosmetics; perfumery; essential oils; cologne; perfume; fragrances and fragrance products for personal use, namely, perfumery; shower gel; bath gels; and body lotions; non-medicated scented skin soap; eau de toilette; eau de parfum; room fragrances; non-medicated beauty preparations; massage oils; essential oils for personal use; astringents for cosmetic purposes; baby wipes, namely, baby wipes impregnated with cleaning preparations; non-medicated pre-impregnated wipes and towels with personal cleansing and cosmetic lotions; non-medicated pre-impregnated wipes and towels for hygienic purposes for personal use impregnated with a cleaning solution; hair lotions; dentifrices; adhesives for cosmetic purposes; fragrances and fragrance products in the nature of perfumery for personal use; cosmetic preparations for astringents for cosmetic purposes; scented body lotions, body creams and body butters; perfumed shimmer sticks in the nature of cosmetics; depilatory strips; non-medicated preparations for the care of hair and for the care of the skin; non-medicated toiletry preparations; non-medicated decorative transfers for cosmetic purposes; non-medicated toiletries for babies and infants; petroleum jelly for cosmetic purposes; talcum powder; skin and body topical lotions, face and skin creams; creams and oils for cosmetic use; skin care cosmetics; non-medicated skin care preparations; scented body lotions and creams; scented moisturizing skin cream; body oil; non-medicated skin toners; skin clarifiers; non-medicated skin balms; exfoliators, namely, exfoliating pad containing cleaning preparations not for medical purposes; exfoliators, namely, exfoliant creams; skin care preparations, namely, face, eye and lip moisturizers; shaving cream, shaving gel, after-shave preparations, and after-shave lotions; toners for cosmetic use, namely, cosmetic preparations; body creams and body butters; baby lotion; baby oil; and skin moisturizing gels for treatment of stretch marks; cosmetics, namely, non-medicated beauty preparations; non-medicated skin care beauty products in the nature of cosmetics; depilatory preparations; antiperspirants; cosmetic preparations for the bath and shower; body lotion and tissues impregnated with cosmetic lotions; cosmetics, namely, beauty tonics for application to the body; beauty tonics for application to the face; topical herbal extracts for cosmetic purposes; cosmetic bath salts; cleansing creams; body deodorants; personal deodorant; cosmetics, namely, cosmetics milks, gels and powders for face, body and hands; cosmetics, namely, beauty care preparations; cosmetics, namely, beauty care products; non-medicated balms in the nature of cosmetics for use on hair, skin and lips; cosmetic preparations for the hair and scalp; hair masks; hair creams; hair gels; hair tonic; shampoos; hair lacquers; gels, sprays, mousses and balms for hair styling and hair care; hair coloring and hair de-colorant preparations; permanent waving and curling preparations for the hair; dry shampoos; non-medicated all in one bath and hair cleansers; non-medicated hair care products, namely, shampoo, hair conditioners, hair mousse, hair molding creams in the nature of hair fixers, hair gel and hair spray; blusher; compacts containing make-up; face, lip and cheek make-up; face powder; face glitter; lipstick, lip gloss, non-medicated lip balm; lip pencils; perfumed make-up stick; perfumed lip pencils; eye shadow; eye pencils; mascara; eye make-up; eyeliners; eye creams; eye gels; eye gloss in the nature of cosmetics; gel eye masks; beauty balm creams; highlighter, namely, a cosmetic product for emphasizing areas of the skin; masks, namely, facial masks, make-up preparations; eyebrow colors; eyebrow cosmetics; eyebrow pencils; false eyebrows; false eyelashes; highlighter makeup, namely, makeup for the face and body; beauty masks; foundation for the face; foundation make-up; make-up remover; glitter for cosmetic purposes; make-up kits comprised of lipstick and lip gloss; non-medicated sun care preparations; sunscreen preparations; sun protection oils in the nature of suntan oils, sun creams and after sun gels; cosmetic sun tanning preparations; after-sun oils, lotions, creams and gels; cosmetic preparations for skin tanning, namely, skin gels for accelerating, enhancing or extending tans; tanning lotions, tanning gels, tanning oils; artificial tanning preparations, namely, tanning creams; nail care preparations; nail varnish and remover thereof; nail care preparations, nail polish, nail strengtheners and nail polish remover; false nails; tooth paste and tooth gel; tooth whitening creams, gels and pastes; tooth bleaching preparations; non-medicated mouthwash; non-medicated preparations for the bath and shower; bath gels and bubble bath IC 005. US 006 018 044 046 051 052. G & S: Pharmaceutical, hygenic and dermatological products, namely, medicated skin lotions, medicated skin creams, medicated skin moisturizers, medicated skin ointments, acne treatment preparations, preparations for treating skin blemishes, and preparations for wart removal; dietary supplements, vitamin preparations and herbal teas for medical purposes; medicated cosmetics; medicated skin care preparations, medicated cosmetic soap, medicated shampoo, rubbing alcohol and skin and nail care anti-septic spray; dietary supplements with a cosmetic effect; medicinal preparations for stimulating hair growth; medicated hair care products, namely, shampoo, hair conditioners IC 021. US 002 013 023 029 030 033 040 050. G & S: Brushes, spatulas, sponges, wedges in the nature of toiletry sponges, rounds in the nature of applicator pads for applying makeup, and puffs in the nature of toiletry sponges, all for cosmetic use; cosmetic applicators; manicure cups, bowls and dishes; nail brushes, applicators sold empty for applying cosmetic lotions for skin, hair, face, body; hot air hair brushes; hair, nail and tooth brushes; household containers for cosmetics IC 035. US 100 101 102. G & S: Online retail store services offered via a global communication network featuring cosmetics, toiletries, perfumery, bath and body products, skin care products and hair care products; retail store services featuring personal care products, cosmetics, toiletries, perfumery, bath and body products, skin care products, hair care products and beauty treatments; mail order services featuring cosmetics, cosmeceuticals, toiletries, perfumery, bath and body products, and hair care products; on-line retail store services featuring perfumery, cosmetics; retail store services in the field of beauty supplies and equipment, catalog ordering service featuring cosmetics and skin care preparation; advertising, marketing and promotion services in the field of cosmetics; marketing research in the fields of cosmetics, perfumery and beauty products; business consulting services in the field of beauty and personal care products","March 19, 2019","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Seattle WASHINGTON 98109"
BELEI,"IC 003. US 001 004 006 050 051 052. G & S: Non-medicated soaps; moisturizing creams; non-medicated scented skin soap; cleaning wipes, namely, wipes impregnated with cleaning preparations; non-medicated preimpregnated wipes and towels with personal cleansing and cosmetic lotions; non-medicated pre-impregnated wipes and towels for hygienic purposes for personal use impregnated with a cleaning solution; cosmetic preparations for astringents for cosmetic purposes; skin topical lotions, face and skin creams; creams for cosmetic use; cosmetic preparations for skin care; non-medicated skin care preparations; scented moisturizing skin cream; skin masks; skin cleansers; skin care preparations, namely, face, moisturizers; face and skin creams; beauty serums; anti-aging cleansers; anti-aging creams; antiaging moisturizers and anti-aging skin care in the nature of cosmetics; beauty lotions; skin cleansing lotions; skin moisturizers; beauty creams; cleansing creams; masks, namely, facial masks, make-up preparations; beauty masks; non-medicated sun care preparations; sunscreen preparations. FIRST USE: 20190320. FIRST USE IN COMMERCE: 20190320 IC 005. US 006 018 044 046 051 052. G & S: Preparations for wart removal; dietary supplements, vitamin preparations and herbal teas for medical purposes; medicated cosmetics; medicated shampoo, rubbing alcohol and skin and nail care anti-septic spray; dietary supplements with a cosmetic effect; medicinal preparations for stimulating hair growth; medicated hair care products, namely, shampoo, hair conditioners. FIRST USE: 20190320. FIRST USE IN COMMERCE: 20190320 IC 035. US 100 101 102. G & S: Online retail store services offered via a global communication network featuring personal care products, and skin care products; retail store services featuring personal care products and skin care products; On-line retail store services featuring subscription boxes containing beauty products and skin care products; advertising, marketing and promotion services in the field of personal care products. FIRST USE: 20190320. FIRST USE IN COMMERCE: 20190320","March 19, 2019","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Seattle WASHINGTON 98109"
BERRY CHANTILLY,IC 030. US 046. G & S: Ice cream; non-diary desserts; brioche bread; buns; mochi; and panettone,"June 25, 2021","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Avenue North Seattle WASHINGTON 98109"
BLINK,"IC 009. US 021 023 026 036 038. G & S: Downloadable computer software for the collection, editing, organizing, modifying, book marking, transmission, storage and sharing of data and information; home automation hubs comprised of voice-activated speakers, computer hardware and software for controlling networked devices in the internet of things (IoT); devices for home and environmental monitoring, control, and automation, namely, wireless and wired controllers, and controlled devices, for lighting, HVAC systems, security systems, appliances, temperature control systems, humidity sensors, smoke sensors, door and window sensors, and cameras; security surveillance apparatus, namely, electronic components of security systems; alarm monitoring systems; home automation control devices for controlling lighting, HVAC systems, security systems, appliances, temperature control systems, humidity sensors, smoke sensors, door and window sensors, and cameras; stand-alone voice controlled information devices, namely, cloud-connected and voice-controlled smart audio speakers with virtual personal assistant capabilities; anti-intrusion and anti-theft warning apparatus and devices, namely, theft alarms and electronic sensors used with theft alarms; photographic apparatus and instruments, namely, cameras, video cameras, cases adapted for photographic equipment, and camera mounts; optical apparatus and instruments, namely, optical profilers, optical scanners, and optical sensors; apparatus for recording, transmission and reproduction of sound and images; computer hardware and software for processing, reproducing, synchronizing, recording, organizing, downloading, uploading, transmitting, streaming, receiving, playing and viewing images, audio, video and data files; wireless communication devices for voice, data, or image transmission; voice and data transmitters and receivers, namely, smart home electronic transmitters and receivers electric doorbells, electronic locks, motion sensors for security lights, burglar alarms, alarm sensors for warning of potential theft, alarm monitoring systems, alarm sensors, and audio speakers; wireless controllers to monitor and control the functioning of other electronic devices; video streaming devices, video recording, and video receiving devices in the nature of smartphone streaming devices and smart home streaming devices apparatus and devices providing night vision, namely, night vision sensors and night vision cameras; alarm monitoring system and camera mounts and stands; environmental hazard detectors, namely, electronic devices that detect and record the presence of water, humidity levels, heat, temperature, movement, motion, and sound; closed circuit television apparatus and cameras; security lights for outdoor use; parts, fittings and accessories for the aforesaid goods, namely, cases adapted for cameras, mounts for cameras; security software, namely, software for monitoring security camera footage and home security systems; security software, namely, software to control building access and security systems; computer software and software applications for mobile phones, tablets, and desktop computers, namely, software for use in monitoring home security systems, for controlling home devices and systems, and for use in electronic storage of data; software and software applications for enabling users to identify and communicate with persons at their door; software development kits (SDKs) consisting of computer software for the development, use, and interoperability of APIs that are used by electronic devices, systems, and interchanges that exchange data via communications networks and the internet and that connect with cloud-based data storage and exchange services; software development kits (SDKs) comprising of software development tools and software for use as an application programming interface (API) for creating software and applications related to internet connected consumer electronic devices; software development kits (SDKs) comprising of software development tools and software for use as an application programming interface (API) for creating software and applications related to theft-prevention and security systems, and home and business surveillance systems; voice-activated software, namely, software security monitoring services for stand-alone voice controlled information devices comprised of cloud-connected and voice-controlled information devices comprised of cloud-connected and voice-controlled smart audio speakers with virtual personal assistant capabilities; computer software for remote monitoring and analysis; security control apparatus, namely, security control panels; wireless communication devices for voice, data, or image transmission; pet and baby monitors, pet viewing units, namely, pet viewing video monitors and baby viewing video monitors; sensors and detectors, namely, motion sensors and detectors, moisture and water leak sensors and detectors, weather sensors and detectors, and temperature and humidity sensors and detectors; electronic systems, equipment and instruments, namely, behavior engine software in the nature of software for analyzing the behavior of people and things, positioning engine software in the nature of software for analyzing the position of people and things, positioning sensors and dynamic intelligent software in the nature of software for analyzing the position of people and things using sensors, and sensors for use in connection with internet of things (IoT) enabled devices; automated self-contained electronic surveillance devices that can be deployed to gather evidence or intelligence remotely IC 038. US 100 101 104. G & S: Electronic communication services, namely, transmission of information by electronic communications networks; electronic transmission of data, audio, video, and audio/video files via global computer network; transmission of messages, voice, data, video, and images through a global computer network; wireless broadband communications services namely, video broadcasting services; video broadcasting services over the Internet or other communications network, namely, electronically transmitting video clips; video telephone services; data communication by electronic mail; streaming of data; providing voice communication services via the Internet; consultancy and advisory services relating to telecommunications services; internet broadcasting services; providing voice communication services over the Internet, namely, voice over internet protocol (VOIP) services; subscription-based video-on-demand transmission of programs IC 042. US 100 101. G & S: Providing on-line non-downloadable computer software for the collection, editing, organizing, modifying, book marking, transmission, storage and sharing of data and information; Platform as a service (PAAS) featuring computer software platforms for monitoring, operating, and automating home and environmental control systems; Software as a service (SAAS) featuring computer software for monitoring, operating, and automating home and environmental control systems; application service provider featuring application programming interface (API) software for monitoring, operating, and automating home and environmental control systems; Platform as a service (PAAS) featuring computer software to electronically connect and control voice-activated speakers, computer hardware and software for controlling networked devices in the internet of things (IoT); Software as a service (SaaS) featuring computer software for connecting, operating, integrating, controlling, and managing networked consumer electronic devices, namely, wireless and wired controllers, and controlled devices, for lighting, HVAC systems, security systems, appliances, temperature control systems, humidity sensors, smoke sensors, door and window sensors, and cameras; Application service provider (ASP) services featuring software for controlling, integrating, operating, connecting, and managing voice controlled information devices, namely, cloud-connected and voice-controlled smart consumer electronic devices, in the nature of wireless and wired controllers, and controlled devices, for lighting, HVAC systems, security systems, appliances, temperature control systems, humidity sensors, smoke sensors, door and window sensors, and cameras; software as a service featuring software for permitting users to identify and communicate with persons at their door; voice-activated software as a service featuring non-downloadable software for stand-alone voice controlled information devices comprised of cloud-connected and voice-controlled information devices in the nature of cloud-connected and voice-controlled smart audio speakers with virtual personal assistant capabilities; computer services, namely, providing an internet site featuring technology enabling users to remotely interact with home and environmental monitoring, control, and automation systems; computer services, namely, providing an internet portal featuring technology enabling users to remotely interact with home and environmental monitoring, control, and automation systems; providing online non-downloadable software for recording, viewing, storing, sharing and analyzing online audio and video; providing temporary use of on-line non-downloadable software for the management and transmission of data; design and development of computer hardware and software; hosting a website for others for the electronic storage of data; installation, maintenance and repair of computer software; electronic storage of electronic media, namely, images, text, audio, and video data; providing an online non-downloadable internet-based system application featuring technology enabling users to share videos; providing an on-line network environment that features technology that enables users to share data; providing temporary use of online non-downloadable software for recording, viewing, storing, sharing, and analyzing data; information technology support services, namely, help desk services and technology advice provided to consumers by means of a support hotline; Technical support services, namely, troubleshooting of computer software problems; computer security services in the nature of restricting unauthorized access to computer networks and computer systems for protecting data and information from unauthorized access; providing temporary use of an online non-downloadable cloud computer software for use in cloud recording and storage; computer services, namely, providing search engines for obtaining data on a global computer network IC 045. US 100 101. G & S: Providing information about personal safety and crime prevention; providing a website featuring information about personal safety and crime prevention; home security monitoring services using sensors and detectors; providing information about public safety and crime prevention; providing a website featuring information about public safety and crime prevention; monitoring of computer systems by remote access to detect home security breaches; monitoring of camera systems by remote access to detect home security breaches; consulting services relating to electronic home security monitoring; electronic monitoring of security systems for residential and commercial properties; security services, namely, providing security personnel to monitor residential and commercial properties","June 15, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Avenue North Seattle WASHINGTON 98109"
BLOOM STREET,"IC 003. US 001 004 006 050 051 052. G & S: Household cleaners, namely, cleaning preparations for household use IC 008. US 023 028 044. G & S: Razors IC 016. US 002 005 022 023 029 037 038 050. G & S: Paper; paper products, namely, paper baby bibs, burp pads of paper, paper bags and sacks, table linen of paper, tissue paper, wrapping paper and paper coffee filters; paper towels; toilet paper; paper napkins; facial tissue IC 029. US 046. G & S: Soups, milk, dried fruits, pre-packaged dinners consisting primarily of meat, poultry, seafood or vegetables; salty snack foods, namely, nut-based snack foods, fruit-based snack foods, meat-based snack foods and potato-based snack foods; shakes; snacks, namely, nut-based snack foods, fruit-based snack foods, meat-based snack foods and potato-based snack foods; edible oils; processed nuts; trail mix consisting primarily of processed nuts; yogurt; sour cream; eggs IC 030. US 046. G & S: Coffee, breakfast cereals, tea, cookies, chocolate, pasta, rice, flour; prepackaged dinners consisting primarily of pasta or rice; salty snack foods, namely, cereal-based snack foods, grain-based snack foods, wheat-based snack foods, corn-based snack foods, rice-based snack foods, granola snacks and coffee-based snack foods; trail mix consisting primarily of granola; snacks, namely, bakery goods, candy, pretzels, cookies, crackers, cereal-based snack foods, grain-based snack foods, wheat-based snack foods, corn-based snack foods, rice-based snack foods, coffee-based snack foods and granola snacks; spices IC 031. US 001 046. G & S: Pet food, dog food, edible dog treats","November 18, 2019","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Seattle WASHINGTON 98109"
C/O,"IC 018. US 001 002 003 022 041. G & S: purses, and handbags, all-purpose carrying bags, tote bags, traveling bags, shoulder bags, clutch purses, backpacks, athletic bags, wallets, coin purses IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, shirts, t-shirts, sweatshirts, pants, leggings, shorts, skirts, tunics, tank tops, dresses, sweaters, pullovers, tracksuits, scarves, jackets and coats, fashion headbands and hats, athletic tights, socks, gloves","March 13, 2019","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
CAMP MOONLIGHT,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, blouses, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, skirts, tunics, tank tops, dresses, tracksuits, leggings, sweaters, pullovers, athletic tights, lingerie, scarves, jackets and coats, raincoats, fashion headbands and hats, belts, sleepwear, lingerie, socks, gloves, and hosiery","April 3, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
CANDY ISLAND CONFECTIONS,IC 030. US 046. G & S: Candy; [ Brittles; ] Chocolates and chocolate based ready to eat candies and snacks; [ Fudge; ] Toffee and toffee-covered candies and snacks [ ; Candy coated popcorn ]. FIRST USE: 20070430. FIRST USE IN COMMERCE: 20070430,"August 27, 2008","(REGISTRANT) Whole Foods Market IP, L.P. WFM IP Management, Inc., a Delaware corporation LIMITED PARTNERSHIP DELAWARE 550 Bowie Street, 6th Floor Austin TEXAS 78703 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
